	index
A1BG	0
A1CF	1
A2M	2
A2ML1	3
A4GALT	4
A4GNT	5
AAAS	6
AACS	7
AADAC	8
AADAT	9
AAGAB	10
AAK1	11
AANAT	12
AARS2	13
AASDH	14
AASDHPPT	15
AASS	16
AATF	17
AATK	18
ABAT	19
ABCA1	20
ABCA10	21
ABCA12	22
ABCA13	23
ABCA2	24
ABCA3	25
ABCA4	26
ABCA5	27
ABCA6	28
ABCA7	29
ABCA8	30
ABCA9	31
ABCB1	32
ABCB10	33
ABCB11	34
ABCB4	35
ABCB5	36
ABCB6	37
ABCB7	38
ABCB8	39
ABCB9	40
ABCC1	41
ABCC10	42
ABCC11	43
ABCC12	44
ABCC2	45
ABCC3	46
ABCC4	47
ABCC5	48
ABCC6	49
ABCC8	50
ABCC9	51
ABCD1	52
ABCD2	53
ABCD3	54
ABCD4	55
ABCE1	56
ABCF1	57
ABCF2	58
ABCF3	59
ABCG1	60
ABCG2	61
ABCG4	62
ABCG5	63
ABCG8	64
ABHD1	65
ABHD10	66
ABHD11	67
ABHD12	68
ABHD13	69
ABHD15	70
ABHD16A	71
ABHD16B	72
ABHD17A	73
ABHD17B	74
ABHD3	75
ABHD4	76
ABHD6	77
ABI1	78
ABI2	79
ABI3	80
ABI3BP	81
ABL1	82
ABL2	83
ABLIM1	84
ABLIM2	85
ABLIM3	86
ABR	87
ABRA	88
ABT1	89
ABTB1	90
ABTB2	91
ACAA2	92
ACACA	93
ACACB	94
ACAD10	95
ACAD11	96
ACAD8	97
ACAD9	98
ACADL	99
ACADS	100
ACADSB	101
ACADVL	102
ACAN	103
ACAP1	104
ACAP2	105
ACAP3	106
ACAT1	107
ACAT2	108
ACBD3	109
ACBD4	110
ACBD5	111
ACCS	112
ACD	113
ACE	114
ACE2	115
ACER1	116
ACER2	117
ACER3	118
ACHE	119
ACIN1	120
ACKR2	121
ACKR3	122
ACKR4	123
ACLY	124
ACO1	125
ACO2	126
ACOT1	127
ACOT11	128
ACOT12	129
ACOT13	130
ACOT2	131
ACOT4	132
ACOT7	133
ACOT8	134
ACOT9	135
ACOX1	136
ACOX2	137
ACOX3	138
ACOXL	139
ACP1	140
ACP2	141
ACP5	142
ACP6	143
ACR	144
ACRBP	145
ACRV1	146
ACSBG1	147
ACSBG2	148
ACSF2	149
ACSF3	150
ACSL1	151
ACSL3	152
ACSL4	153
ACSL5	154
ACSL6	155
ACSM1	156
ACSM2A	157
ACSM2B	158
ACSM3	159
ACSM4	160
ACSM5	161
ACSS1	162
ACSS2	163
ACSS3	164
ACTA1	165
ACTA2	166
ACTB	167
ACTBL2	168
ACTG1	169
ACTG2	170
ACTL6A	171
ACTL6B	172
ACTL7B	173
ACTN1	174
ACTN2	175
ACTN4	176
ACTR10	177
ACTR1A	178
ACTR1B	179
ACTR2	180
ACTR3	181
ACTR3B	182
ACTR5	183
ACTR6	184
ACTR8	185
ACTRT3	186
ACVR1	187
ACVR1B	188
ACVR1C	189
ACVR2A	190
ACVR2B	191
ACVRL1	192
ACY3	193
ACYP1	194
ADA	195
ADAD2	196
ADAL	197
ADAM10	198
ADAM11	199
ADAM12	200
ADAM15	201
ADAM17	202
ADAM19	203
ADAM20	204
ADAM21	205
ADAM22	206
ADAM23	207
ADAM28	208
ADAM29	209
ADAM32	210
ADAM33	211
ADAM8	212
ADAM9	213
ADAMDEC1	214
ADAMTS1	215
ADAMTS10	216
ADAMTS12	217
ADAMTS13	218
ADAMTS14	219
ADAMTS15	220
ADAMTS16	221
ADAMTS17	222
ADAMTS18	223
ADAMTS19	224
ADAMTS2	225
ADAMTS3	226
ADAMTS4	227
ADAMTS5	228
ADAMTS6	229
ADAMTS7	230
ADAMTS8	231
ADAMTS9	232
ADAMTSL1	233
ADAMTSL2	234
ADAMTSL3	235
ADAMTSL4	236
ADAMTSL5	237
ADAP1	238
ADAP2	239
ADAR	240
ADARB1	241
ADARB2	242
ADAT1	243
ADAT2	244
ADCK1	245
ADCK2	246
ADCK5	247
ADCY1	248
ADCY10	249
ADCY2	250
ADCY3	251
ADCY5	252
ADCY6	253
ADCY7	254
ADCY8	255
ADCY9	256
ADD1	257
ADD2	258
ADD3	259
ADH1A	260
ADH1B	261
ADH4	262
ADH5	263
ADH6	264
ADHFE1	265
ADIPOQ	266
ADIPOR2	267
ADK	268
ADM	269
ADNP	270
ADNP2	271
ADORA1	272
ADORA2A	273
ADORA2B	274
ADORA3	275
ADPGK	276
ADPRH	277
ADPRHL1	278
ADPRM	279
ADRA1A	280
ADRA1B	281
ADRA1D	282
ADRA2A	283
ADRA2B	284
ADRA2C	285
ADRB1	286
ADRB2	287
ADRB3	288
ADRM1	289
ADSL	290
ADTRP	291
AEBP1	292
AEBP2	293
AEN	294
AFAP1	295
AFAP1L1	296
AFAP1L2	297
AFF1	298
AFF2	299
AFF3	300
AFF4	301
AFG3L2	302
AFMID	303
AFP	304
AFTPH	305
AGAP1	306
AGAP2	307
AGAP3	308
AGAP4	309
AGAP5	310
AGAP6	311
AGBL2	312
AGBL3	313
AGBL4	314
AGBL5	315
AGFG1	316
AGFG2	317
AGGF1	318
AGK	319
AGL	320
AGMAT	321
AGMO	322
AGO1	323
AGO2	324
AGO3	325
AGO4	326
AGPAT1	327
AGPAT3	328
AGPAT4	329
AGPS	330
AGR2	331
AGRN	332
AGT	333
AGTPBP1	334
AGTR1	335
AGTR2	336
AGXT	337
AGXT2	338
AHCTF1	339
AHCY	340
AHCYL1	341
AHCYL2	342
AHDC1	343
AHI1	344
AHNAK	345
AHNAK2	346
AHR	347
AHRR	348
AHSA1	349
AHSG	350
AHSP	351
AICDA	352
AIDA	353
AIFM1	354
AIFM2	355
AIFM3	356
AIG1	357
AIM2	358
AIMP1	359
AIMP2	360
AIP	361
AIRE	362
AJAP1	363
AJUBA	364
AK1	365
AK3	366
AK4	367
AK5	368
AK7	369
AK8	370
AK9	371
AKAP1	372
AKAP10	373
AKAP11	374
AKAP12	375
AKAP13	376
AKAP14	377
AKAP3	378
AKAP5	379
AKAP6	380
AKAP7	381
AKAP8	382
AKAP8L	383
AKAP9	384
AKIRIN1	385
AKNA	386
AKNAD1	387
AKR1A1	388
AKR1B1	389
AKR1B10	390
AKR1C1	391
AKR1C2	392
AKR1C3	393
AKR1C4	394
AKR1D1	395
AKR1E2	396
AKR7A3	397
AKT1	398
AKT1S1	399
AKT2	400
AKT3	401
AKTIP	402
ALAD	403
ALAS1	404
ALAS2	405
ALB	406
ALCAM	407
ALDH16A1	408
ALDH18A1	409
ALDH1A1	410
ALDH1A2	411
ALDH1A3	412
ALDH1B1	413
ALDH1L1	414
ALDH1L2	415
ALDH2	416
ALDH3A2	417
ALDH3B1	418
ALDH3B2	419
ALDH5A1	420
ALDH6A1	421
ALDH7A1	422
ALDH8A1	423
ALDH9A1	424
ALDOA	425
ALDOB	426
ALDOC	427
ALG1	428
ALG10	429
ALG10B	430
ALG11	431
ALG12	432
ALG13	433
ALG14	434
ALG2	435
ALG3	436
ALG5	437
ALG6	438
ALG8	439
ALG9	440
ALK	441
ALKBH1	442
ALKBH2	443
ALKBH3	444
ALKBH4	445
ALKBH5	446
ALKBH7	447
ALKBH8	448
ALLC	449
ALMS1	450
ALOX12	451
ALOX12B	452
ALOX15	453
ALOX15B	454
ALOX5	455
ALOX5AP	456
ALOXE3	457
ALPK1	458
ALPK2	459
ALPK3	460
ALPL	461
ALS2	462
ALS2CL	463
ALX1	464
ALX4	465
AMACR	466
AMBP	467
AMBRA1	468
AMD1	469
AMDHD1	470
AMDHD2	471
AMER1	472
AMER2	473
AMH	474
AMHR2	475
AMIGO1	476
AMIGO2	477
AMIGO3	478
AMMECR1	479
AMMECR1L	480
AMN	481
AMN1	482
AMOT	483
AMOTL1	484
AMOTL2	485
AMPD1	486
AMPD2	487
AMPD3	488
AMPH	489
AMT	490
AMY1A	491
AMY1C	492
AMY2A	493
AMY2B	494
AMZ1	495
AMZ2	496
ANAPC1	497
ANAPC10	498
ANAPC11	499
ANAPC2	500
ANAPC4	501
ANAPC5	502
ANAPC7	503
ANGEL1	504
ANGEL2	505
ANGPT1	506
ANGPT2	507
ANGPT4	508
ANGPTL1	509
ANGPTL2	510
ANGPTL3	511
ANGPTL4	512
ANGPTL5	513
ANGPTL7	514
ANK1	515
ANK2	516
ANK3	517
ANKAR	518
ANKDD1A	519
ANKEF1	520
ANKFY1	521
ANKH	522
ANKHD1-EIF4EBP3	523
