	index
A1BG	0
A1CF	1
A2M	2
A2ML1	3
A4GALT	4
A4GNT	5
AAAS	6
AACS	7
AADAC	8
AAGAB	9
AANAT	10
AARS2	11
AASDH	12
AASS	13
AATF	14
AATK	15
ABAT	16
ABCA1	17
ABCA2	18
ABCA3	19
ABCA4	20
ABCA5	21
ABCA7	22
ABCA8	23
ABCA9	24
ABCB10	25
ABCB5	26
ABCB6	27
ABCB7	28
ABCB8	29
ABCB9	30
ABCC1	31
ABCC10	32
ABCC11	33
ABCC12	34
ABCC3	35
ABCC5	36
ABCD1	37
ABCD2	38
ABCD3	39
ABCD4	40
ABCE1	41
ABCF1	42
ABCF2	43
ABCF3	44
ABCG1	45
ABCG2	46
ABCG4	47
ABCG5	48
ABHD1	49
ABHD10	50
ABHD11	51
ABHD12	52
ABHD13	53
ABHD15	54
ABHD16A	55
ABHD16B	56
ABHD17A	57
ABHD17B	58
ABHD3	59
ABHD4	60
ABHD6	61
ABI1	62
ABI2	63
ABI3	64
ABI3BP	65
ABL1	66
ABL2	67
ABLIM1	68
ABLIM2	69
ABLIM3	70
ABR	71
ABRA	72
ABT1	73
ABTB1	74
ABTB2	75
ACAA2	76
ACACA	77
ACACB	78
ACAD10	79
ACAD11	80
ACAD8	81
ACAD9	82
ACADL	83
ACADS	84
ACADSB	85
ACADVL	86
ACAP1	87
ACAP2	88
ACAP3	89
ACAT1	90
ACAT2	91
ACBD3	92
ACBD4	93
ACBD5	94
ACCS	95
ACD	96
ACE	97
ACER1	98
ACER2	99
ACER3	100
ACHE	101
ACIN1	102
ACKR2	103
ACKR3	104
ACLY	105
ACO1	106
ACO2	107
ACOT1	108
ACOT11	109
ACOT12	110
ACOT13	111
ACOT4	112
ACOT7	113
ACOT8	114
ACOX1	115
ACOX2	116
ACOX3	117
ACOXL	118
ACP1	119
ACP2	120
ACP5	121
ACP6	122
ACR	123
ACRBP	124
ACRV1	125
ACSBG2	126
ACSF2	127
ACSL1	128
ACSL3	129
ACSL4	130
ACSL5	131
ACSL6	132
ACSM1	133
ACSM4	134
ACSM5	135
ACSS1	136
ACSS2	137
ACSS3	138
ACTA1	139
ACTA2	140
ACTBL2	141
ACTG1	142
ACTG2	143
ACTL6A	144
ACTL6B	145
ACTL7B	146
ACTN1	147
ACTN2	148
ACTN4	149
ACTR10	150
ACTR1A	151
ACTR1B	152
ACTR2	153
ACTR3	154
ACTR3B	155
ACTR5	156
ACTR8	157
ACVR1	158
ACVR1B	159
ACVR1C	160
ACVR2A	161
ACVR2B	162
ACVRL1	163
ACY3	164
ACYP1	165
ADA	166
ADAD2	167
ADAM10	168
ADAM11	169
ADAM12	170
ADAM15	171
ADAM17	172
ADAM19	173
ADAM22	174
ADAM23	175
ADAM28	176
ADAM29	177
ADAM32	178
ADAM33	179
ADAM8	180
ADAM9	181
ADAMDEC1	182
ADAMTS1	183
ADAMTS10	184
ADAMTS12	185
ADAMTS14	186
ADAMTS15	187
ADAMTS16	188
ADAMTS17	189
ADAMTS18	190
ADAMTS19	191
ADAMTS2	192
ADAMTS3	193
ADAMTS4	194
ADAMTS5	195
ADAMTS6	196
ADAMTS7	197
ADAMTS8	198
ADAMTS9	199
ADAMTSL3	200
ADAMTSL4	201
ADAMTSL5	202
ADAP1	203
ADAP2	204
ADAR	205
ADARB1	206
ADARB2	207
ADAT1	208
ADAT2	209
ADCK1	210
ADCK2	211
ADCK5	212
ADCY1	213
ADCY10	214
ADCY2	215
ADCY3	216
ADCY5	217
ADCY6	218
ADCY7	219
ADCY8	220
ADCY9	221
ADD1	222
ADD2	223
ADH1A	224
ADH5	225
ADH6	226
ADHFE1	227
ADIPOQ	228
ADK	229
ADM	230
ADNP	231
ADNP2	232
ADORA1	233
ADORA2A	234
ADORA2B	235
ADORA3	236
ADPGK	237
ADPRH	238
ADPRHL1	239
ADPRM	240
ADRA1A	241
ADRA1D	242
ADRA2A	243
ADRA2B	244
ADRA2C	245
ADRB1	246
ADRB3	247
ADRM1	248
ADSL	249
AEBP1	250
AEN	251
AFAP1	252
AFAP1L1	253
AFAP1L2	254
AFF1	255
AFF2	256
AFF3	257
AFF4	258
AFG3L2	259
AFMID	260
AFP	261
AFTPH	262
AGAP1	263
AGAP2	264
AGAP3	265
AGBL2	266
AGBL3	267
AGBL4	268
AGFG1	269
AGFG2	270
AGGF1	271
AGL	272
AGMAT	273
AGMO	274
AGO1	275
AGO2	276
AGO3	277
AGO4	278
AGPAT1	279
AGPAT3	280
AGPAT4	281
AGPS	282
AGRN	283
AGT	284
AGTPBP1	285
AGTR1	286
AGXT	287
AGXT2	288
AHCTF1	289
AHCY	290
AHCYL1	291
AHCYL2	292
AHDC1	293
AHI1	294
AHNAK	295
AHNAK2	296
AHRR	297
AHSA1	298
AHSG	299
AHSP	300
AICDA	301
AIDA	302
AIFM1	303
AIFM2	304
AIFM3	305
AIG1	306
AIMP1	307
AIMP2	308
AIP	309
AIRE	310
AJAP1	311
AJUBA	312
AK1	313
AK3	314
AK4	315
AK5	316
AK7	317
AK8	318
AK9	319
AKAP1	320
AKAP10	321
AKAP11	322
AKAP12	323
AKAP13	324
AKAP14	325
AKAP3	326
AKAP5	327
AKAP6	328
AKAP7	329
AKAP8	330
AKAP8L	331
AKAP9	332
AKIRIN1	333
AKNA	334
AKNAD1	335
AKR1A1	336
AKR1B1	337
AKR1B10	338
AKR1C1	339
AKR1C2	340
AKR1D1	341
AKR7A3	342
AKT1	343
AKT1S1	344
AKT2	345
AKT3	346
AKTIP	347
ALAD	348
ALAS1	349
ALCAM	350
ALDH16A1	351
ALDH18A1	352
ALDH1B1	353
ALDH1L2	354
ALDH2	355
ALDH3A2	356
ALDH3B1	357
ALDH5A1	358
ALDH6A1	359
ALDH7A1	360
ALDH8A1	361
ALDH9A1	362
ALDOC	363
ALG1	364
ALG10	365
ALG10B	366
ALG11	367
ALG12	368
ALG14	369
ALG2	370
ALG3	371
ALG5	372
ALG6	373
ALG8	374
ALG9	375
ALK	376
ALKBH1	377
ALKBH2	378
ALKBH3	379
ALKBH4	380
ALKBH5	381
ALKBH7	382
ALKBH8	383
ALLC	384
ALMS1	385
ALOX12	386
ALOX15	387
ALOX15B	388
ALOX5	389
ALOXE3	390
ALPK3	391
ALPL	392
ALS2	393
ALS2CL	394
ALX1	395
AMACR	396
AMBP	397
AMBRA1	398
AMD1	399
AMDHD1	400
AMDHD2	401
AMER1	402
AMER2	403
AMH	404
AMHR2	405
AMIGO1	406
AMIGO2	407
AMIGO3	408
AMMECR1	409
AMMECR1L	410
AMN	411
AMN1	412
AMOT	413
AMOTL2	414
AMPD1	415
AMPD3	416
AMPH	417
AMT	418
AMY2B	419
AMZ1	420
AMZ2	421
ANAPC1	422
ANAPC10	423
ANAPC11	424
ANAPC2	425
ANAPC4	426
ANAPC5	427
ANAPC7	428
ANGEL1	429
ANGEL2	430
ANGPT1	431
ANGPT2	432
ANGPT4	433
ANGPTL1	434
ANGPTL2	435
ANGPTL3	436
ANGPTL4	437
ANGPTL5	438
ANGPTL7	439
ANK1	440
ANK2	441
ANK3	442
ANKAR	443
ANKDD1A	444
ANKFY1	445
ANKH	446
ANKHD1-EIF4EBP3	447
ANKIB1	448
ANKLE1	449
ANKLE2	450
ANKMY1	451
ANKMY2	452
ANKRA2	453
ANKRD1	454
ANKRD10	455
ANKRD11	456
ANKRD12	457
ANKRD13A	458
ANKRD13B	459
ANKRD13C	460
ANKRD17	461
ANKRD18A	462
ANKRD2	463
ANKRD24	464
ANKRD26	465
ANKRD27	466
ANKRD28	467
ANKRD29	468
ANKRD34A	469
ANKRD35	470
ANKRD39	471
ANKRD40	472
ANKRD42	473
ANKRD44	474
ANKRD45	475
ANKRD46	476
ANKRD49	477
ANKRD50	478
ANKRD52	479
ANKRD54	480
ANKRD55	481
ANKRD6	482
ANKRD7	483
ANKS1A	484
ANKS1B	485
ANKS4B	486
ANKS6	487
ANKZF1	488
ANLN	489
ANO1	490
ANO10	491
ANO2	492
ANO4	493
ANO5	494
ANO6	495
ANO7	496
ANO8	497
ANO9	498
ANP32A	499
ANP32B	500
ANP32E	501
ANPEP	502
ANTXR1	503
ANTXR2	504
ANXA1	505
ANXA11	506
ANXA13	507
ANXA3	508
ANXA4	509
ANXA5	510
ANXA6	511
ANXA7	512
ANXA8L1	513
ANXA9	514
AOAH	515
AOC2	516
AOC3	517
AOX1	518
AP1AR	519
AP1G1	520
AP1G2	521
